name,region,sub-region,,alpha-3
Solomon Islands,Oceania,Melanesia,,SLB
Somalia,Africa,Sub-Saharan Africa,,SOM
South Africa,Africa,Sub-Saharan Africa,,ZAF
South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,,SGS
South Sudan,Africa,Sub-Saharan Africa,,SSD
Spain,Europe,Southern Europe,,ESP
Sri Lanka,Asia,Southern Asia,,LKA
Sudan,Africa,Northern Africa,,SDN
Suriname,Americas,Latin America and the Caribbean,,SUR
Svalbard and Jan Mayen,Europe,Northern Europe,,SJM
Sweden,Europe,Northern Europe,,SWE
Switzerland,Europe,Western Europe,,CHE
Syria,Asia,Western Asia,,SYR
Taiwan,Asia,Eastern Asia,,TWN
Tajikistan,Asia,Central Asia,,TJK
Tanzania,Africa,Sub-Saharan Africa,,TZA
Thailand,Asia,South-eastern Asia,,THA
Timor-Leste,Asia,South-eastern Asia,,TLS
Togo,Africa,Sub-Saharan Africa,,TGO
Tokelau,Oceania,Polynesia,,TKL
Tonga,Oceania,Polynesia,,TON
Trinidad and Tobago,Americas,Latin America and the Caribbean,,TTO
Tunisia,Africa,Northern Africa,,TUN
Turkey,Asia,Western Asia,,TUR
Turkmenistan,Asia,Central Asia,,TKM
Turks and Caicos Islands,Americas,Latin America and the Caribbean,,TCA
Tuvalu,Oceania,Polynesia,,TUV
Uganda,Africa,Sub-Saharan Africa,,UGA
Ukraine,Europe,Eastern Europe,,UKR
United Arab Emirates,Asia,Western Asia,,ARE
United Kingdom,Europe,Northern Europe,,GBR
United States,Americas,Northern America,,USA
United States Minor Outlying Islands,Oceania,Micronesia,,UMI
Uruguay,Americas,Latin America and the Caribbean,,URY
Uzbekistan,Asia,Central Asia,,UZB
Vanuatu,Oceania,Melanesia,,VUT
Venezuela,Americas,Latin America and the Caribbean,,VEN
Vietnam,Asia,South-eastern Asia,,VNM
Virgin Islands (British),Americas,Latin America and the Caribbean,,VGB
Virgin Islands (U.S.),Americas,Latin America and the Caribbean,,VIR
Wallis and Futuna,Oceania,Polynesia,,WLF
Western Sahara,Africa,Northern Africa,,ESH
Yemen,Asia,Western Asia,,YEM
Zambia,Africa,Sub-Saharan Africa,,ZMB
Zimbabwe,Africa,Sub-Saharan Africa,,ZWE
